"customerid","avg_order_value"
16446,"84236.25"
12346,"77183.60"
15749,"14844.77"
15098,"13305.50"
12357,"6207.67"
12415,"5948.31"
12590,"4932.13"
12688,"4873.81"
12752,"4366.78"
18102,"4327.62"
18251,"4314.72"
17450,"4225.89"
12536,"4200.61"
16000,"4131.23"
12378,"4008.62"
12435,"3914.95"
14088,"3883.99"
15195,"3861.00"
14646,"3838.44"
14096,"3833.22"
12409,"3690.89"
12753,"3571.56"
12454,"3528.34"
13135,"3096.00"
12744,"3039.90"
17511,"2937.50"
12931,"2803.73"
14439,"2661.24"
13422,"2626.30"
13081,"2576.13"
12557,"2398.19"
16684,"2380.48"
17313,"2328.84"
12798,"2325.68"
16532,"2249.60"
16984,"2229.76"
12477,"2203.29"
12501,"2169.39"
15769,"2163.57"
14156,"2131.09"
17404,"2127.12"
16281,"2062.06"
17597,"2044.37"
17846,"2033.10"
18087,"2027.86"
15341,"2020.52"
15372,"2007.40"
16754,"2002.40"
12433,"1910.84"
12755,"1905.97"
14887,"1862.00"
16240,"1859.40"
16253,"1841.93"
14459,"1837.92"
16152,"1829.04"
12451,"1807.10"
17107,"1799.58"
14680,"1797.13"
16303,"1786.88"
14935,"1784.71"
15838,"1770.69"
16751,"1764.72"
12349,"1757.55"
16380,"1743.15"
13763,"1714.96"
12405,"1710.39"
15947,"1708.24"
12406,"1707.65"
16902,"1706.88"
12764,"1693.88"
16182,"1654.41"
15032,"1653.03"
15786,"1639.67"
12398,"1635.66"
13952,"1625.54"
13868,"1596.27"
13850,"1595.48"
17672,"1589.09"
12607,"1579.51"
12359,"1577.51"
12731,"1574.66"
16126,"1571.94"
14286,"1542.92"
12818,"1542.08"
13340,"1533.78"
13802,"1533.14"
17553,"1487.60"
12678,"1469.04"
12438,"1453.43"
12939,"1447.73"
13316,"1433.23"
14566,"1432.00"
14258,"1407.78"
18139,"1406.39"
12578,"1397.26"
14277,"1396.00"
12758,"1395.80"
14049,"1394.68"
17354,"1393.06"
12539,"1392.09"
13572,"1384.25"
17084,"1374.00"
12770,"1351.45"
12625,"1341.91"
13501,"1340.32"
13328,"1308.48"
17919,"1304.04"
14769,"1302.12"
13694,"1300.79"
17949,"1300.23"
16101,"1290.70"
15171,"1289.50"
16029,"1283.35"
16180,"1281.77"
13878,"1271.57"
17037,"1267.32"
14105,"1266.23"
13151,"1257.87"
13124,"1252.11"
12700,"1235.00"
15004,"1220.77"
16333,"1210.31"
12397,"1204.95"
14866,"1199.16"
12611,"1193.32"
16873,"1187.27"
16210,"1171.46"
14298,"1171.08"
15113,"1169.81"
17857,"1168.65"
13334,"1167.44"
16800,"1162.65"
14607,"1157.82"
13027,"1152.00"
15676,"1145.25"
12769,"1143.60"
16270,"1141.24"
15061,"1136.13"
12830,"1135.77"
17340,"1123.03"
13365,"1112.69"
15665,"1111.11"
15069,"1109.53"
12876,"1109.01"
12653,"1104.93"
13373,"1104.08"
15123,"1099.65"
15978,"1098.78"
13505,"1098.41"
13853,"1090.14"
12534,"1089.18"
14016,"1085.30"
12354,"1079.40"
13224,"1077.97"
16563,"1077.74"
14175,"1074.10"
13635,"1071.03"
14212,"1070.48"
14488,"1064.28"
14411,"1063.00"
12456,"1060.35"
17727,"1060.25"
16041,"1055.47"
14306,"1046.66"
15464,"1044.65"
12497,"1043.10"
16258,"1040.70"
16260,"1035.45"
13639,"1033.34"
13098,"1031.52"
13235,"1031.07"
15333,"1028.56"
13555,"1024.72"
13941,"1022.59"
12585,"1020.05"
12514,"1017.68"
14936,"1017.13"
12449,"1016.82"
16940,"1016.63"
17197,"1013.01"
12432,"1011.86"
13815,"1006.84"
12754,"1003.58"
12446,"1002.31"
14544,"1002.15"
17082,"1001.92"
12444,"1001.09"
16698,"999.00"
12766,"998.52"
14101,"996.13"
15416,"996.08"
17679,"996.06"
15382,"992.62"
15531,"986.20"
17416,"984.77"
17444,"980.01"
13093,"979.06"
18194,"973.84"
16652,"967.71"
12550,"964.83"
17728,"958.67"
18192,"957.97"
17244,"954.90"
15251,"953.18"
12597,"952.81"
12668,"951.79"
14535,"951.61"
12762,"949.26"
17044,"948.48"
14934,"945.47"
12371,"943.98"
12714,"941.77"
12567,"940.13"
12472,"938.87"
12429,"937.60"
12356,"937.14"
16986,"936.60"
17389,"936.28"
14145,"935.55"
18133,"931.50"
13680,"929.78"
13225,"923.41"
13934,"922.10"
15576,"921.37"
12652,"919.98"
13075,"919.61"
14015,"917.34"
13421,"916.86"
17396,"916.35"
15321,"916.10"
16216,"914.93"
12669,"914.68"
13174,"914.27"
15808,"912.82"
13689,"910.00"
14031,"909.83"
14125,"906.88"
15482,"906.65"
15480,"905.50"
18079,"903.29"
15484,"897.60"
15066,"893.59"
12772,"892.47"
15255,"890.85"
17829,"889.24"
17139,"887.56"
12360,"887.35"
12370,"885.49"
12428,"884.05"
13851,"883.82"
15076,"880.85"
12424,"880.48"
14062,"872.07"
15782,"871.58"
17353,"870.00"
13979,"869.87"
17649,"868.49"
17317,"866.78"
15502,"865.41"
13339,"860.12"
13881,"857.98"
15485,"854.83"
16398,"852.90"
12713,"848.55"
14245,"846.72"
15228,"846.68"
12635,"844.59"
12847,"843.64"
16108,"842.50"
17602,"842.40"
17426,"839.54"
15245,"838.61"
14146,"838.20"
13344,"837.23"
15832,"836.79"
12967,"830.45"
15640,"827.74"
16494,"826.53"
18092,"824.39"
13893,"821.10"
12480,"820.41"
17686,"819.92"
12980,"819.43"
12749,"818.18"
14164,"815.88"
12377,"814.06"
17338,"811.69"
16276,"810.60"
12656,"810.23"
15791,"806.35"
14918,"805.08"
15980,"799.62"
14733,"798.83"
14844,"797.45"
13336,"795.12"
14442,"794.91"
13523,"792.98"
13722,"791.80"
16013,"790.01"
13814,"789.56"
15065,"789.53"
14557,"788.38"
12540,"788.25"
14930,"787.65"
13777,"787.19"
12473,"785.61"
16609,"784.78"
17593,"784.77"
12865,"784.11"
16054,"783.90"
14961,"782.74"
13659,"781.50"
13583,"781.03"
18259,"779.53"
13375,"778.65"
16505,"777.60"
12425,"777.20"
15513,"776.75"
13341,"775.85"
14565,"774.78"
16222,"773.55"
15075,"773.03"
13362,"772.69"
13869,"770.91"
12965,"769.81"
16480,"769.29"
13849,"768.97"
15125,"768.57"
13356,"768.24"
15093,"766.17"
14885,"765.32"
14567,"765.18"
12705,"763.14"
16244,"761.38"
17509,"760.46"
13791,"758.00"
16053,"755.98"
13370,"754.87"
18104,"754.64"
12484,"754.55"
15265,"753.06"
13001,"752.77"
16256,"752.43"
12637,"750.36"
14923,"749.10"
12502,"744.77"
15057,"744.75"
13354,"743.53"
12374,"742.93"
13753,"741.26"
12603,"739.20"
14756,"738.96"
12976,"738.60"
15727,"737.01"
13209,"736.45"
14952,"736.32"
12916,"736.24"
15074,"735.67"
12626,"735.61"
14875,"732.66"
14505,"732.43"
15903,"732.39"
14700,"731.70"
12882,"731.52"
16491,"731.50"
17406,"728.14"
16440,"728.13"
14055,"725.64"
13139,"723.56"
12475,"723.38"
15505,"722.19"
13735,"720.89"
18145,"715.39"
14911,"714.98"
14828,"713.25"
17761,"712.78"
13587,"712.40"
13324,"712.20"
12560,"711.34"
14329,"710.75"
14422,"710.61"
13517,"709.47"
13629,"708.40"
12453,"707.09"
14842,"706.17"
15444,"705.60"
12612,"704.04"
16705,"701.75"
14461,"701.02"
15478,"699.96"
17381,"699.16"
17133,"698.89"
14626,"697.82"
14121,"695.04"
17768,"693.97"
17311,"692.42"
13988,"691.33"
17735,"690.00"
13488,"689.87"
12886,"689.20"
13458,"689.04"
12658,"686.05"
12621,"684.48"
14222,"683.17"
12840,"681.69"
15673,"681.56"
12380,"681.20"
14001,"681.03"
12478,"680.99"
18082,"680.84"
13396,"680.50"
16422,"680.09"
15322,"679.68"
14051,"678.71"
16938,"677.92"
13285,"677.28"
16377,"676.20"
18055,"676.13"
13607,"675.51"
13325,"675.30"
13355,"674.70"
13464,"674.68"
12646,"673.49"
14154,"672.81"
15398,"672.77"
12638,"671.69"
15734,"669.73"
12613,"668.88"
12418,"668.58"
13015,"667.93"
18188,"667.01"
15311,"666.29"
15146,"663.58"
14603,"660.00"
12471,"659.62"
16083,"658.81"
13771,"658.61"
18204,"658.45"
14921,"658.04"
17675,"657.23"
15677,"657.23"
16708,"656.63"
16127,"656.25"
17004,"656.07"
13644,"656.07"
12516,"656.03"
14894,"655.75"
14725,"655.58"
14004,"654.66"
12836,"652.59"
15813,"651.96"
13798,"651.82"
16056,"650.75"
13895,"648.27"
12709,"647.10"
14418,"645.75"
15157,"645.36"
15299,"643.86"
17046,"642.02"
16717,"640.51"
12631,"640.50"
15494,"640.29"
14301,"640.14"
16308,"640.00"
12627,"639.79"
16692,"638.00"
16843,"637.29"
16327,"636.71"
13090,"636.49"
12394,"636.24"
15773,"635.68"
14000,"635.66"
12630,"635.44"
14250,"634.68"
13431,"634.55"
17700,"633.66"
13989,"633.04"
16655,"631.59"
17985,"631.35"
15497,"631.10"
12901,"630.52"
15874,"629.41"
14235,"628.97"
14687,"628.38"
17049,"628.34"
13518,"627.16"
12681,"626.71"
14036,"626.65"
13471,"625.46"
12689,"623.80"
15147,"623.50"
17499,"622.88"
17640,"621.66"
15159,"621.37"
17584,"621.15"
16141,"620.40"
12667,"620.13"
14257,"619.94"
13507,"619.79"
12985,"619.69"
12476,"619.67"
14305,"619.65"
13476,"619.24"
14893,"618.93"
13931,"618.77"
16613,"618.59"
17706,"617.91"
17428,"616.32"
17059,"616.08"
15998,"616.04"
18080,"615.75"
12347,"615.71"
14382,"615.49"
15275,"615.14"
17937,"614.46"
12950,"614.33"
16102,"614.05"
17015,"612.87"
16116,"612.78"
18022,"612.72"
18287,"612.43"
12513,"612.29"
15296,"612.14"
15645,"612.01"
16763,"611.85"
14163,"611.48"
15023,"610.95"
15795,"610.01"
13357,"609.40"
13381,"606.55"
13918,"606.42"
16653,"606.33"
16718,"606.05"
17722,"606.01"
16709,"605.97"
13089,"605.79"
16265,"605.22"
13520,"604.06"
16732,"603.75"
12707,"603.42"
12757,"602.67"
16022,"602.63"
17589,"601.04"
12420,"600.39"
13097,"600.32"
13562,"599.78"
12521,"599.68"
12670,"599.21"
18235,"598.83"
15720,"598.73"
15856,"597.91"
14675,"596.36"
17365,"595.92"
12462,"594.80"
12917,"594.00"
15442,"594.00"
16535,"593.75"
17203,"593.35"
15630,"593.18"
13384,"593.13"
13908,"592.39"
14503,"590.54"
13270,"590.00"
13448,"589.12"
14857,"586.56"
17160,"586.34"
13243,"585.12"
15222,"585.00"
16131,"584.42"
16072,"584.32"
12358,"584.03"
12906,"583.96"
12426,"582.73"
14261,"581.73"
15067,"581.59"
12546,"580.75"
15088,"580.04"
13451,"579.65"
15050,"579.23"
17142,"579.00"
12408,"577.71"
14367,"576.74"
15830,"576.00"
14251,"575.94"
14387,"575.87"
16360,"575.07"
16656,"575.05"
14005,"574.94"
13564,"574.89"
14400,"574.70"
15303,"574.02"
13115,"573.70"
13901,"573.44"
15704,"573.41"
17505,"572.92"
16766,"572.80"
12615,"572.80"
12867,"572.76"
15985,"571.21"
14554,"569.87"
12727,"568.67"
17242,"567.52"
13198,"566.87"
16278,"566.38"
16345,"565.46"
12683,"565.10"
16671,"564.09"
17152,"563.17"
14753,"563.15"
17970,"562.79"
17282,"561.82"
12524,"560.71"
15655,"560.67"
15549,"560.49"
13044,"560.47"
16081,"559.88"
16275,"559.87"
15415,"559.61"
12842,"559.50"
12866,"559.12"
14903,"559.07"
17788,"558.95"
13800,"558.32"
18242,"558.12"
12481,"557.98"
17183,"557.89"
13260,"557.62"
14739,"557.47"
12643,"557.44"
14895,"556.94"
15834,"556.29"
14817,"555.17"
12857,"553.20"
15797,"551.85"
15826,"551.44"
17291,"550.80"
12390,"549.84"
14841,"549.29"
16536,"548.12"
14474,"547.66"
16003,"547.07"
16211,"547.02"
17520,"546.81"
15764,"546.66"
16985,"546.41"
17723,"546.07"
17806,"546.04"
15394,"545.89"
18189,"545.12"
17677,"544.85"
15122,"544.59"
13435,"544.27"
17838,"544.16"
13390,"544.08"
15763,"543.46"
13278,"542.73"
12664,"542.43"
14759,"541.99"
12490,"541.79"
17567,"541.43"
13425,"541.40"
14292,"541.33"
12633,"541.00"
14937,"540.63"
13874,"540.45"
14194,"540.45"
13744,"540.26"
12562,"540.25"
13726,"539.83"
16379,"539.35"
15539,"538.46"
17272,"537.16"
15043,"537.00"
13467,"535.96"
16142,"535.34"
13761,"535.33"
13883,"534.90"
13385,"534.57"
16200,"534.44"
16340,"534.31"
15034,"534.27"
17443,"534.24"
16496,"533.17"
15825,"532.94"
17277,"532.68"
12815,"531.73"
17050,"530.94"
18159,"530.15"
16618,"529.52"
14360,"529.51"
17819,"529.27"
13455,"529.17"
15150,"529.13"
15379,"529.04"
16602,"528.08"
13658,"527.83"
15977,"527.37"
12479,"527.20"
17623,"527.05"
12520,"526.85"
12716,"526.75"
18173,"526.71"
17863,"526.67"
18093,"526.63"
17865,"526.32"
16889,"526.22"
13186,"525.30"
13721,"524.14"
15218,"523.35"
17712,"522.91"
12362,"522.62"
15111,"522.49"
13297,"522.46"
14389,"521.73"
13136,"521.52"
12863,"521.20"
12949,"520.90"
15149,"520.80"
13178,"520.50"
14038,"520.13"
14873,"519.68"
16320,"519.23"
16650,"518.42"
15620,"517.73"
16135,"517.55"
15491,"516.68"
13043,"516.42"
14390,"515.84"
14229,"515.73"
12717,"515.49"
13253,"515.20"
16369,"515.14"
14546,"514.79"
15249,"514.50"
16980,"514.23"
17716,"514.18"
17513,"513.20"
18272,"513.10"
17159,"512.96"
16160,"512.72"
14904,"512.72"
17805,"512.31"
17480,"511.82"
15891,"511.68"
16242,"511.41"
14346,"510.79"
13165,"510.74"
12759,"510.48"
13113,"510.25"
12572,"510.21"
18142,"509.76"
12436,"509.01"
15417,"508.80"
14317,"508.58"
17958,"508.46"
17415,"507.84"
15194,"507.77"
14158,"507.66"
16358,"506.88"
16767,"506.87"
12739,"506.52"
13764,"506.47"
16614,"506.19"
14195,"506.00"
12988,"505.82"
14267,"505.41"
16229,"505.30"
14014,"505.18"
12849,"505.14"
17625,"505.10"
13032,"505.09"
13953,"502.24"
12957,"502.19"
13969,"501.34"
13116,"501.14"
16525,"501.06"
16279,"500.93"
12545,"500.20"
14907,"500.16"
18143,"500.08"
15389,"500.00"
13810,"499.67"
15193,"499.32"
14307,"499.29"
15142,"498.74"
17053,"498.48"
17002,"497.91"
17088,"497.75"
12779,"497.67"
16820,"497.61"
14639,"497.42"
14547,"496.84"
15104,"496.77"
12913,"496.73"
17594,"496.59"
15300,"496.44"
12517,"496.32"
13363,"496.25"
13692,"496.11"
17337,"495.26"
15448,"494.64"
16497,"494.28"
17333,"494.25"
15498,"493.20"
16341,"492.97"
14270,"492.65"
12674,"492.65"
17131,"492.63"
13871,"492.56"
17144,"492.29"
13536,"492.06"
13732,"491.86"
16755,"491.81"
15974,"491.74"
14944,"491.69"
14246,"491.35"
12510,"491.28"
15071,"491.03"
15000,"490.52"
18074,"489.60"
13350,"489.56"
17590,"489.34"
15674,"489.32"
12809,"489.31"
14920,"488.89"
16839,"488.07"
15165,"487.75"
16643,"487.51"
16376,"487.48"
13338,"487.02"
13437,"486.87"
17669,"486.67"
15814,"486.33"
13153,"486.22"
12639,"486.10"
17100,"485.87"
13078,"485.69"
12583,"485.43"
13709,"485.20"
15109,"484.95"
14256,"484.53"
15601,"484.04"
14655,"483.06"
14138,"482.94"
14740,"482.74"
16779,"482.35"
18216,"481.75"
13461,"481.67"
13176,"481.49"
14130,"480.91"
15091,"480.71"
16633,"480.52"
15006,"480.38"
16812,"479.35"
13823,"478.83"
12644,"477.91"
13141,"477.75"
14629,"477.63"
15948,"477.62"
14285,"477.50"
12685,"477.18"
14530,"477.02"
15427,"476.85"
14493,"476.65"
16553,"476.65"
12447,"476.49"
15819,"476.36"
18176,"476.35"
15507,"475.86"
17061,"475.66"
14497,"475.37"
18226,"475.28"
12822,"474.44"
16571,"473.90"
14019,"473.87"
12458,"473.70"
14110,"473.60"
16556,"473.40"
14852,"472.78"
13261,"472.05"
15641,"471.80"
16012,"471.76"
14440,"471.54"
15721,"471.40"
16245,"471.22"
17173,"470.83"
13985,"470.68"
14431,"470.36"
17738,"469.76"
15367,"469.40"
14796,"469.15"
15557,"468.91"
16871,"468.72"
17083,"468.59"
14525,"468.43"
16584,"468.04"
13982,"467.95"
14140,"467.52"
13655,"466.49"
12782,"466.18"
16504,"465.88"
16201,"465.87"
15785,"465.79"
18202,"465.66"
16934,"465.52"
13767,"465.42"
16742,"464.90"
14364,"464.67"
15845,"463.97"
16586,"463.95"
14967,"463.80"
13414,"463.50"
12388,"463.44"
14489,"463.38"
18223,"463.18"
13516,"463.14"
12945,"462.95"
14290,"462.93"
15694,"462.81"
13805,"462.30"
15708,"462.18"
13308,"461.84"
18167,"461.62"
12989,"461.61"
15288,"461.30"
15654,"461.27"
13122,"461.20"
15051,"461.12"
13035,"460.94"
14081,"460.81"
16187,"460.76"
16713,"460.72"
12491,"460.40"
14113,"460.11"
17018,"460.05"
17621,"459.97"
14216,"459.83"
16550,"459.79"
12355,"459.40"
15443,"459.08"
17880,"458.92"
18225,"458.75"
16107,"457.74"
13398,"457.34"
12564,"456.90"
15364,"456.60"
17702,"456.09"
13192,"455.97"
13758,"455.79"
16169,"455.74"
14755,"455.48"
15585,"455.30"
16529,"455.25"
17828,"455.02"
13048,"454.85"
17230,"454.80"
15471,"454.48"
17787,"454.39"
17306,"454.28"
13485,"454.24"
17140,"454.12"
15475,"454.11"
17528,"453.56"
13408,"453.50"
13327,"453.47"
12729,"453.01"
14184,"452.89"
12591,"452.85"
16209,"452.52"
15615,"452.16"
16574,"451.44"
15802,"451.42"
13654,"451.22"
17809,"450.99"
17685,"450.83"
16079,"450.67"
16716,"450.60"
14415,"450.43"
13137,"450.41"
12940,"449.85"
14625,"449.82"
17040,"449.73"
16669,"449.63"
16735,"449.48"
13196,"449.45"
12448,"449.45"
17648,"449.38"
12348,"449.31"
15739,"449.12"
15044,"449.10"
16771,"448.52"
16523,"448.50"
13134,"448.40"
12921,"448.30"
14426,"448.17"
13510,"447.89"
17386,"447.74"
16317,"447.22"
15211,"447.21"
15368,"446.94"
14149,"446.62"
12620,"446.47"
14608,"446.29"
13685,"445.63"
14240,"445.17"
18006,"444.68"
15680,"444.56"
17932,"443.86"
17537,"443.84"
12645,"443.80"
18097,"443.73"
14638,"443.60"
17092,"443.51"
16404,"443.05"
18222,"443.00"
14226,"442.96"
15822,"442.73"
12721,"442.69"
17704,"442.60"
15722,"442.24"
16133,"442.09"
17095,"441.39"
15179,"441.39"
15290,"441.29"
17581,"441.01"
16218,"440.67"
14299,"440.62"
12579,"440.42"
16110,"440.32"
14022,"440.00"
18233,"440.00"
15524,"440.00"
13183,"439.75"
16025,"439.66"
12391,"439.66"
13359,"439.56"
13358,"439.03"
16033,"438.94"
12526,"438.89"
12854,"438.75"
15653,"438.72"
14770,"438.21"
14973,"438.15"
18260,"438.06"
16040,"437.85"
16628,"437.61"
18210,"436.90"
13294,"436.87"
15950,"436.18"
16084,"436.18"
15551,"436.06"
12909,"435.73"
13157,"435.30"
12507,"434.94"
17566,"434.88"
12694,"434.84"
17017,"434.71"
16905,"433.94"
14912,"433.92"
14093,"433.86"
17043,"433.79"
14597,"433.12"
12488,"432.89"
16464,"432.89"
16567,"432.80"
12372,"432.68"
12955,"432.47"
16236,"432.20"
16881,"432.00"
16456,"431.64"
15410,"431.36"
18094,"431.04"
13245,"430.50"
12795,"430.48"
12794,"430.21"
14856,"430.18"
15450,"429.84"
15553,"428.93"
13602,"428.89"
15957,"428.89"
17147,"428.65"
13566,"428.42"
17858,"428.39"
17802,"428.35"
16163,"428.30"
14441,"428.22"
12431,"428.00"
15360,"427.93"
12725,"427.80"
12403,"427.70"
12740,"427.60"
12802,"427.58"
12878,"427.49"
16121,"427.33"
14193,"426.70"
15930,"426.63"
14288,"426.60"
12379,"426.12"
16070,"426.07"
15981,"426.06"
17758,"426.03"
16951,"425.92"
15639,"425.32"
17091,"425.31"
14676,"424.71"
13632,"423.79"
16347,"423.73"
13221,"423.71"
16007,"423.45"
13492,"423.28"
17924,"423.21"
14691,"422.87"
16686,"422.84"
17525,"422.70"
18240,"422.58"
16745,"422.39"
17158,"422.32"
13162,"422.07"
13577,"421.90"
18106,"421.90"
17624,"421.74"
16842,"421.40"
13929,"421.33"
14159,"420.94"
15301,"420.83"
16560,"420.71"
16019,"420.69"
14862,"420.60"
15039,"420.57"
14757,"420.50"
15815,"420.12"
12610,"419.91"
15009,"419.81"
14669,"419.75"
14124,"419.58"
17400,"419.57"
16639,"419.17"
16875,"419.11"
13149,"419.01"
15361,"418.92"
13265,"418.53"
13848,"418.33"
16747,"418.03"
17701,"417.95"
17169,"417.89"
13615,"417.69"
16737,"417.60"
12833,"417.38"
13166,"417.20"
13319,"417.14"
16558,"416.92"
13889,"416.90"
16644,"416.89"
14112,"416.45"
14383,"415.90"
13029,"415.83"
14139,"415.82"
15803,"415.82"
12580,"415.70"
12530,"415.57"
14644,"415.38"
15332,"415.26"
16701,"415.25"
15725,"415.25"
14333,"415.20"
14045,"414.94"
16795,"414.88"
18231,"414.35"
15994,"414.27"
13974,"413.59"
14315,"413.52"
16834,"413.46"
12461,"413.44"
17588,"413.40"
12781,"413.37"
12928,"412.54"
17682,"412.39"
14837,"412.38"
14766,"412.23"
15622,"412.17"
13647,"412.03"
15523,"412.01"
16272,"411.70"
12518,"411.38"
12455,"411.14"
17667,"411.10"
12657,"410.80"
15632,"410.66"
16150,"410.60"
15099,"410.48"
15002,"410.44"
13975,"410.21"
14048,"409.93"
14232,"409.61"
14348,"409.57"
15225,"409.40"
13495,"408.97"
12412,"408.96"
15269,"408.80"
15465,"408.59"
15649,"408.00"
15939,"407.67"
17730,"407.58"
15376,"407.19"
18064,"407.00"
12474,"406.89"
16672,"406.75"
14421,"406.56"
15127,"406.53"
16947,"406.48"
16284,"406.34"
15342,"406.09"
17364,"405.70"
17652,"405.64"
12417,"405.46"
17101,"405.43"
12922,"405.38"
16624,"405.28"
13055,"404.80"
16409,"404.60"
12619,"404.58"
13949,"404.55"
16319,"404.40"
18263,"404.39"
16143,"404.16"
14336,"403.73"
16549,"403.49"
15089,"403.47"
17431,"403.30"
15221,"403.25"
13707,"403.21"
12434,"403.07"
16762,"402.41"
13593,"402.38"
18248,"402.01"
17940,"402.00"
18069,"401.85"
14388,"401.61"
13082,"401.51"
18230,"401.46"
15158,"401.40"
17596,"400.96"
18265,"400.76"
16198,"400.68"
14572,"400.65"
12792,"400.54"
16367,"400.33"
17320,"400.21"
15298,"399.99"
18164,"399.65"
12839,"399.39"
17052,"399.09"
12701,"398.86"
17739,"398.76"
16801,"398.56"
16191,"398.50"
16676,"398.03"
14970,"398.02"
13352,"397.98"
18178,"397.70"
17827,"397.47"
17213,"397.32"
12824,"397.12"
13594,"396.97"
17486,"396.87"
15993,"396.81"
13614,"396.37"
18067,"396.33"
12682,"396.12"
15990,"396.05"
15189,"395.74"
17769,"395.74"
12393,"395.65"
17603,"394.72"
13329,"394.50"
17651,"394.50"
14619,"394.44"
16207,"394.38"
15386,"394.14"
15544,"394.08"
15755,"394.04"
15264,"393.74"
16546,"393.58"
15345,"393.54"
17226,"393.49"
15861,"393.36"
14600,"393.33"
17058,"393.30"
13109,"393.27"
17671,"393.18"
16950,"392.85"
14506,"392.13"
15837,"391.98"
12885,"391.74"
12640,"391.53"
16917,"391.52"
14498,"391.46"
15306,"391.45"
14854,"391.43"
15532,"391.18"
17204,"391.14"
15493,"390.68"
12982,"390.54"
16700,"390.50"
17554,"390.49"
15239,"390.30"
18228,"389.95"
12735,"389.78"
17379,"389.72"
14752,"389.64"
13345,"389.50"
14815,"389.25"
12690,"389.01"
17414,"389.00"
13500,"388.92"
13563,"388.77"
15592,"388.58"
17438,"388.45"
14737,"388.18"
16825,"387.59"
14420,"387.52"
17508,"387.31"
15144,"387.08"
17744,"387.07"
12500,"387.07"
15719,"386.93"
14395,"386.66"
15664,"386.43"
17614,"386.32"
17764,"386.27"
14107,"386.18"
17409,"385.93"
13993,"385.15"
15353,"385.06"
14412,"385.01"
13611,"384.80"
12910,"384.38"
14978,"384.27"
16204,"384.18"
17205,"384.08"
16982,"384.06"
12733,"383.95"
15392,"383.88"
13833,"383.85"
12515,"383.70"
15625,"383.56"
14304,"383.45"
13320,"383.05"
12710,"383.01"
13107,"382.90"
14672,"382.78"
17695,"382.67"
17239,"382.50"
15701,"382.25"
17466,"381.64"
12747,"381.46"
14221,"381.42"
15090,"381.32"
15599,"380.87"
17138,"380.50"
13330,"380.31"
17936,"380.13"
13819,"380.12"
17425,"379.59"
15671,"379.59"
16036,"379.46"
17878,"379.45"
15358,"379.42"
17500,"379.33"
16909,"379.14"
13994,"379.02"
13317,"378.95"
14550,"378.69"
13372,"378.64"
14709,"378.54"
15489,"378.09"
18172,"378.08"
12598,"377.88"
15223,"377.88"
13282,"377.38"
13310,"377.34"
17655,"376.99"
12890,"376.72"
13936,"376.58"
13447,"376.38"
16714,"376.35"
13730,"376.30"
13030,"376.22"
13842,"376.18"
12937,"376.07"
16128,"376.04"
16858,"375.69"
12609,"375.62"
14708,"375.46"
15752,"375.23"
17463,"375.17"
14079,"375.10"
15521,"375.02"
16147,"375.00"
12908,"375.00"
17442,"374.76"
14432,"374.75"
17492,"374.57"
15530,"374.33"
13772,"374.21"
17469,"374.19"
13486,"374.14"
12873,"374.00"
13351,"373.94"
16859,"373.91"
16807,"373.86"
16570,"373.84"
15730,"373.63"
17387,"373.41"
14276,"373.25"
13576,"373.19"
14050,"373.18"
12726,"372.73"
12544,"372.70"
13236,"372.43"
13591,"372.38"
16670,"372.35"
16923,"372.06"
13300,"371.89"
15472,"371.56"
16776,"371.54"
14408,"371.29"
14950,"371.20"
16746,"371.12"
12465,"371.10"
15975,"371.01"
